localDate,timeslot,temperatureC,feelsLikeTemperatureC,humidity,precipitationProbability,windSpeedKph,weatherDescription
2024-10-10,19:00,33,42,56,0,21624,Hurricane force winds
2024-10-10,20:00,32,42,60,0,21624,Hurricane force winds
2024-10-10,21:00,31,42,65,0,21624,Hurricane force winds
2024-10-10,22:00,31,42,68,0,21624,Hurricane force winds
2024-10-10,23:00,30,41,72,0,21624,Hurricane force winds
2024-10-11,00:00,29,40,73,0,21624,Hurricane force winds
2024-10-11,01:00,29,40,75,0,21624,Hurricane force winds
2024-10-11,02:00,28,39,78,0,21624,Hurricane force winds
2024-10-11,03:00,28,38,78,0,21624,Hurricane force winds
2024-10-11,04:00,27,37,80,0,21624,Hurricane force winds
2024-10-11,05:00,27,37,82,0,21624,Hurricane force winds
2024-10-11,06:00,27,37,80,0,21624,Hurricane force winds
2024-10-11,07:00,27,36,80,0,21624,Hurricane force winds
2024-10-11,08:00,29,39,71,0,21624,Hurricane force winds
2024-10-11,09:00,31,41,61,0,21624,Hurricane force winds
2024-10-11,10:00,33,42,50,0,21624,Hurricane force winds
2024-10-11,11:00,35,42,40,0,21624,Hurricane force winds
2024-10-11,12:00,36,42,34,0,21624,Hurricane force winds
2024-10-11,13:00,37,42,31,0,21624,Hurricane force winds
2024-10-11,14:00,37,42,32,0,21624,Hurricane force winds
2024-10-11,15:00,36,42,36,0,21624,Hurricane force winds
2024-10-11,16:00,35,42,41,0,21624,Hurricane force winds
2024-10-11,17:00,34,42,43,0,21624,Hurricane force winds
2024-10-11,18:00,33,41,47,0,21624,Hurricane force winds
2024-10-11,19:00,32,41,54,0,21624,Hurricane force winds
2024-10-11,20:00,32,41,58,0,21624,Hurricane force winds
2024-10-11,21:00,31,41,62,0,21624,Hurricane force winds
2024-10-11,22:00,30,40,65,0,21624,Hurricane force winds
2024-10-11,23:00,30,40,69,0,21624,Hurricane force winds
2024-10-12,00:00,29,39,71,0,21624,Hurricane force winds
2024-10-12,01:00,29,39,74,0,21624,Hurricane force winds
2024-10-12,02:00,28,38,76,0,21624,Hurricane force winds
2024-10-12,03:00,28,37,75,0,21624,Hurricane force winds
2024-10-12,04:00,27,36,76,0,21624,Hurricane force winds
2024-10-12,05:00,27,36,81,0,9,A clear sky and light winds
2024-10-12,06:00,27,35,79,0,11,Gusty winds and a clear sky
2024-10-12,07:00,27,35,78,0,21624,Hurricane force winds
2024-10-12,08:00,28,37,69,0,21624,Hurricane force winds
2024-10-12,09:00,31,40,59,0,21624,Hurricane force winds
2024-10-12,10:00,33,41,49,0,21624,Hurricane force winds
2024-10-12,11:00,35,41,39,0,21624,Hurricane force winds
2024-10-12,12:00,36,41,33,0,21624,Hurricane force winds
2024-10-12,13:00,37,42,29,0,21624,Hurricane force winds
2024-10-12,14:00,37,41,30,0,21624,Hurricane force winds
2024-10-12,15:00,36,42,34,0,21624,Hurricane force winds
2024-10-12,16:00,35,42,39,0,21624,Hurricane force winds
2024-10-12,17:00,34,41,42,0,21624,Hurricane force winds
2024-10-12,18:00,33,41,48,0,21624,Hurricane force winds
2024-10-12,19:00,32,41,55,0,15,Gusty winds and a clear sky
2024-10-12,20:00,31,40,59,0,21624,Hurricane force winds
2024-10-12,21:00,31,40,62,0,9,A clear sky and light winds
2024-10-12,22:00,30,39,64,0,6,A clear sky and light winds
2024-10-12,23:00,29,38,67,0,7,A clear sky and light winds
2024-10-13,00:00,29,37,68,0,6,A clear sky and light winds
2024-10-13,01:00,28,36,71,0,7,A clear sky and light winds
2024-10-13,02:00,27,35,72,0,7,A clear sky and light winds
2024-10-13,03:00,27,34,73,0,8,A clear sky and light winds
2024-10-13,04:00,26,34,75,0,8,A clear sky and light winds
2024-10-13,05:00,26,33,77,0,7,Gusty winds and a clear sky
2024-10-13,06:00,26,32,75,0,21624,Hurricane force winds
2024-10-13,07:00,25,32,76,0,21624,Hurricane force winds
2024-10-13,08:00,28,36,67,0,21624,Hurricane force winds
2024-10-13,09:00,30,39,58,0,21624,Hurricane force winds
2024-10-13,10:00,33,40,48,0,21624,Hurricane force winds
2024-10-13,11:00,34,40,37,0,21624,Hurricane force winds
2024-10-13,12:00,36,40,30,0,21624,Hurricane force winds
2024-10-13,13:00,37,40,26,0,21624,Hurricane force winds
2024-10-13,14:00,37,41,27,0,21624,Hurricane force winds
2024-10-13,15:00,36,41,31,0,21624,Hurricane force winds
2024-10-13,16:00,35,41,36,0,21624,Hurricane force winds
2024-10-13,17:00,34,40,40,0,21624,Hurricane force winds
2024-10-13,18:00,33,40,46,0,21624,Hurricane force winds
2024-10-13,19:00,32,40,54,0,21624,Hurricane force winds
2024-10-13,20:00,31,40,59,0,21624,Hurricane force winds
2024-10-13,21:00,30,39,62,0,21624,Hurricane force winds
2024-10-13,22:00,30,39,65,0,21624,Hurricane force winds
2024-10-13,23:00,29,38,68,0,21624,Hurricane force winds
2024-10-14,00:00,28,37,70,0,21624,Hurricane force winds
2024-10-14,01:00,28,36,73,0,21624,Hurricane force winds
2024-10-14,02:00,27,35,73,0,21624,Hurricane force winds
2024-10-14,03:00,26,34,74,0,21624,Hurricane force winds
2024-10-14,04:00,26,33,75,0,21624,Hurricane force winds
2024-10-14,05:00,26,33,75,0,21624,Hurricane force winds
2024-10-14,06:00,26,32,71,0,21624,Hurricane force winds
2024-10-14,07:00,26,31,69,0,21624,Hurricane force winds
2024-10-14,08:00,28,34,58,0,21624,Hurricane force winds
2024-10-14,09:00,31,37,47,0,21624,Hurricane force winds
2024-10-14,10:00,33,38,36,0,21624,Hurricane force winds
2024-10-14,11:00,35,39,30,0,21624,Hurricane force winds
2024-10-14,12:00,37,40,26,0,21624,Hurricane force winds
2024-10-14,13:00,38,41,23,0,21624,Hurricane force winds
2024-10-14,14:00,38,41,25,0,21624,Hurricane force winds
2024-10-14,15:00,37,42,31,0,21624,Hurricane force winds
2024-10-14,16:00,36,42,37,0,21624,Hurricane force winds
2024-10-14,17:00,35,42,40,0,21624,Hurricane force winds
2024-10-14,18:00,34,41,46,0,21624,Hurricane force winds
2024-10-14,19:00,33,41,52,0,21624,Hurricane force winds
2024-10-14,20:00,32,40,53,0,21624,Hurricane force winds
2024-10-14,21:00,31,39,54,0,21624,Hurricane force winds
2024-10-14,22:00,31,38,53,0,21624,Hurricane force winds
2024-10-14,23:00,30,37,56,0,21624,Hurricane force winds
2024-10-15,00:00,29,36,56,0,21624,Hurricane force winds
2024-10-15,01:00,28,35,57,0,21624,Hurricane force winds
2024-10-15,02:00,28,33,57,0,21624,Hurricane force winds
2024-10-15,03:00,27,32,57,0,21624,Hurricane force winds
2024-10-15,04:00,26,31,58,0,21624,Hurricane force winds
2024-10-15,05:00,26,31,59,0,21624,Hurricane force winds
2024-10-15,06:00,26,30,58,0,21624,Hurricane force winds
2024-10-15,07:00,26,30,57,0,21624,Hurricane force winds
2024-10-15,08:00,28,33,51,0,21624,Hurricane force winds
2024-10-15,09:00,30,36,45,0,21624,Hurricane force winds
2024-10-15,10:00,33,37,38,0,21624,Hurricane force winds
2024-10-15,11:00,35,39,33,0,21624,Hurricane force winds
2024-10-15,12:00,36,40,28,0,21624,Hurricane force winds
2024-10-15,13:00,37,41,26,0,21624,Hurricane force winds
2024-10-15,14:00,37,41,26,0,21624,Hurricane force winds
2024-10-15,15:00,37,41,30,0,21624,Hurricane force winds
2024-10-15,16:00,36,42,35,0,21624,Hurricane force winds
2024-10-15,17:00,35,41,38,0,21624,Hurricane force winds
2024-10-15,18:00,34,40,41,0,21624,Hurricane force winds
2024-10-15,19:00,33,40,46,0,21624,Hurricane force winds
2024-10-15,20:00,32,39,49,0,21624,Hurricane force winds
2024-10-15,21:00,31,38,51,0,21624,Hurricane force winds
2024-10-15,22:00,30,37,54,0,21624,Hurricane force winds
2024-10-15,23:00,30,37,56,0,21624,Hurricane force winds
2024-10-16,00:00,29,36,57,0,21624,Hurricane force winds
2024-10-16,01:00,29,36,60,0,21624,Hurricane force winds
2024-10-16,02:00,28,34,63,0,21624,Hurricane force winds
2024-10-16,03:00,27,33,65,0,21624,Hurricane force winds
2024-10-16,04:00,27,33,67,0,21624,Hurricane force winds
2024-10-16,05:00,27,34,72,0,21624,Hurricane force winds
2024-10-16,06:00,27,34,72,0,21624,Hurricane force winds
2024-10-16,07:00,27,35,70,0,21624,Hurricane force winds
2024-10-16,08:00,29,37,66,0,21624,Hurricane force winds
2024-10-16,09:00,30,39,62,0,21624,Hurricane force winds
2024-10-16,10:00,32,41,56,0,21624,Hurricane force winds
2024-10-16,11:00,34,42,45,0,21624,Hurricane force winds
2024-10-16,12:00,35,42,39,0,21624,Hurricane force winds
2024-10-16,13:00,36,42,36,0,21624,Hurricane force winds
2024-10-16,14:00,36,42,36,5,21624,Hurricane force winds
2024-10-16,15:00,35,43,41,6,21624,Hurricane force winds
2024-10-16,16:00,34,43,47,6,21624,Hurricane force winds
2024-10-16,17:00,34,42,49,13,21624,Hurricane force winds
2024-10-16,18:00,33,41,53,13,21624,Hurricane force winds
2024-10-16,19:00,32,41,57,13,21624,Hurricane force winds
2024-10-16,20:00,32,41,60,0,21624,Hurricane force winds
2024-10-16,21:00,31,41,63,0,21624,Hurricane force winds
2024-10-16,22:00,30,40,65,0,21624,Hurricane force winds
2024-10-16,23:00,29,39,67,0,21624,Hurricane force winds
2024-10-17,00:00,29,38,68,0,21624,Hurricane force winds
2024-10-17,01:00,28,37,70,0,21624,Hurricane force winds
2024-10-17,02:00,28,36,71,0,21624,Hurricane force winds
2024-10-17,03:00,27,35,74,0,21624,Hurricane force winds
2024-10-17,04:00,27,34,76,0,21624,Hurricane force winds
2024-10-17,05:00,26,35,79,0,10,A clear sky and light winds
2024-10-17,06:00,26,34,78,0,11,A clear sky and light winds
2024-10-17,07:00,27,35,77,0,11,Sunny and light winds
2024-10-17,08:00,29,38,70,0,13,Sunny and a gentle breeze
2024-10-17,09:00,30,40,66,0,14,Sunny and a gentle breeze
2024-10-17,10:00,32,41,57,0,13,Sunny and a gentle breeze
2024-10-17,11:00,34,42,46,0,12,Sunny and light winds
2024-10-17,12:00,35,42,39,0,10,Sunny and light winds
2024-10-17,13:00,36,43,36,0,12,Sunny and a gentle breeze
2024-10-17,14:00,36,43,37,0,15,Sunny and a gentle breeze
2024-10-17,15:00,35,43,42,0,19,Sunny and a gentle breeze
2024-10-17,16:00,34,43,48,0,23,Sunny and a moderate breeze
2024-10-17,17:00,33,43,51,0,22,Sunny and a moderate breeze
2024-10-17,18:00,33,42,56,0,20,A clear sky and a moderate breeze
2024-10-17,19:00,32,42,63,0,17,A clear sky and a gentle breeze
2024-10-17,20:00,31,42,66,0,12,A clear sky and a gentle breeze
2024-10-17,21:00,30,42,70,0,10,A clear sky and light winds
2024-10-17,22:00,30,40,70,0,7,A clear sky and light winds
2024-10-17,23:00,29,40,74,0,8,A clear sky and light winds
