localDate,timeslot,temperatureC,feelsLikeTemperatureC,humidity,precipitationProbability,windSpeedKph,weatherDescription
2024-10-10,16:00,12,7,57,0,185,Hurricane force winds
2024-10-10,17:00,11,6,57,0,185,Hurricane force winds
2024-10-10,18:00,10,5,60,0,185,Hurricane force winds
2024-10-10,19:00,10,4,63,0,185,Hurricane force winds
2024-10-10,20:00,9,2,68,0,185,Hurricane force winds
2024-10-10,21:00,8,1,71,0,185,Hurricane force winds
2024-10-10,22:00,8,1,74,0,185,Hurricane force winds
2024-10-10,23:00,7,0,77,10,185,Hurricane force winds
2024-10-11,00:00,7,-1,78,0,185,Hurricane force winds
2024-10-11,01:00,6,-2,82,0,185,Hurricane force winds
2024-10-11,02:00,5,-3,85,0,185,Hurricane force winds
2024-10-11,03:00,5,-3,86,0,185,Hurricane force winds
2024-10-11,04:00,5,-4,86,0,185,Hurricane force winds
2024-10-11,05:00,5,-4,87,0,185,Hurricane force winds
2024-10-11,06:00,4,-5,87,0,185,Hurricane force winds
2024-10-11,07:00,4,-5,88,0,185,Hurricane force winds
2024-10-11,08:00,4,-5,90,0,185,Hurricane force winds
2024-10-11,09:00,6,-3,85,0,185,Hurricane force winds
2024-10-11,10:00,7,0,79,0,185,Hurricane force winds
2024-10-11,11:00,9,2,71,0,185,Hurricane force winds
2024-10-11,12:00,10,5,62,0,185,Hurricane force winds
2024-10-11,13:00,11,6,55,0,185,Hurricane force winds
2024-10-11,14:00,12,7,51,0,185,Hurricane force winds
2024-10-11,15:00,12,7,50,0,185,Hurricane force winds
2024-10-11,16:00,12,7,50,0,185,Hurricane force winds
2024-10-11,17:00,11,7,54,0,185,Hurricane force winds
2024-10-11,18:00,11,5,58,0,185,Hurricane force winds
2024-10-11,19:00,10,4,63,0,185,Hurricane force winds
2024-10-11,20:00,9,3,68,0,185,Hurricane force winds
2024-10-11,21:00,8,1,71,0,185,Hurricane force winds
2024-10-11,22:00,8,1,74,0,185,Hurricane force winds
2024-10-11,23:00,7,0,76,0,185,Hurricane force winds
2024-10-12,00:00,7,-1,79,0,185,Hurricane force winds
2024-10-12,01:00,6,-2,81,0,185,Hurricane force winds
2024-10-12,02:00,6,6,83,0,6,Partly cloudy and light winds
2024-10-12,03:00,6,6,84,0,4,Gusty winds and partly cloudy
2024-10-12,04:00,7,-1,83,0,185,Hurricane force winds
2024-10-12,05:00,7,-1,85,0,185,Hurricane force winds
2024-10-12,06:00,7,-1,85,0,185,Hurricane force winds
2024-10-12,07:00,7,0,86,0,185,Hurricane force winds
2024-10-12,08:00,8,1,88,0,185,Hurricane force winds
2024-10-12,09:00,9,3,86,0,185,Hurricane force winds
2024-10-12,10:00,10,5,83,0,185,Hurricane force winds
2024-10-12,11:00,11,7,79,12,185,Hurricane force winds
2024-10-12,12:00,13,9,75,13,185,Hurricane force winds
2024-10-12,13:00,14,11,71,19,185,Hurricane force winds
2024-10-12,14:00,14,12,71,40,185,Hurricane force winds
2024-10-12,15:00,14,12,72,37,185,Hurricane force winds
2024-10-12,16:00,14,14,71,44,12,Gusty winds and light rain showers
2024-10-12,17:00,14,11,74,30,185,Hurricane force winds
2024-10-12,18:00,13,12,76,41,10,Light rain showers and light winds
2024-10-12,19:00,12,11,81,46,11,Light rain showers and light winds
2024-10-12,20:00,11,10,83,17,11,Partly cloudy and light winds
2024-10-12,21:00,10,9,84,16,12,Partly cloudy and a gentle breeze
2024-10-12,22:00,10,9,84,0,11,A clear sky and light winds
2024-10-12,23:00,9,8,83,0,12,A clear sky and light winds
2024-10-13,00:00,9,7,84,0,11,A clear sky and light winds
2024-10-13,01:00,8,6,83,0,12,A clear sky and light winds
2024-10-13,02:00,7,5,85,0,13,Gusty winds and a clear sky
2024-10-13,03:00,7,0,82,0,185,Hurricane force winds
2024-10-13,04:00,7,-1,83,0,185,Hurricane force winds
2024-10-13,05:00,7,-1,84,0,185,Hurricane force winds
2024-10-13,06:00,6,-2,85,0,185,Hurricane force winds
2024-10-13,07:00,6,-3,86,0,185,Hurricane force winds
2024-10-13,08:00,6,-2,86,0,185,Hurricane force winds
2024-10-13,09:00,7,-1,83,0,185,Hurricane force winds
2024-10-13,10:00,8,1,79,0,185,Hurricane force winds
2024-10-13,11:00,9,3,73,0,185,Hurricane force winds
2024-10-13,12:00,10,5,66,0,185,Hurricane force winds
2024-10-13,13:00,11,6,61,0,185,Hurricane force winds
2024-10-13,14:00,11,6,56,0,185,Hurricane force winds
2024-10-13,15:00,11,6,56,0,185,Hurricane force winds
2024-10-13,16:00,11,7,55,0,185,Hurricane force winds
2024-10-13,17:00,11,6,57,0,185,Hurricane force winds
2024-10-13,18:00,10,5,62,0,185,Hurricane force winds
2024-10-13,19:00,10,4,66,0,185,Hurricane force winds
2024-10-13,20:00,9,3,71,0,185,Hurricane force winds
2024-10-13,21:00,9,3,71,0,185,Hurricane force winds
2024-10-13,22:00,8,2,74,0,185,Hurricane force winds
2024-10-13,23:00,9,2,76,0,185,Hurricane force winds
2024-10-14,00:00,9,2,77,0,185,Hurricane force winds
2024-10-14,01:00,9,2,78,0,185,Hurricane force winds
2024-10-14,02:00,8,2,80,0,185,Hurricane force winds
2024-10-14,03:00,9,2,82,0,185,Hurricane force winds
2024-10-14,04:00,9,2,83,0,185,Hurricane force winds
2024-10-14,05:00,9,2,85,37,185,Hurricane force winds
2024-10-14,06:00,9,3,85,37,185,Hurricane force winds
2024-10-14,07:00,9,3,86,37,185,Hurricane force winds
2024-10-14,08:00,9,3,88,36,185,Hurricane force winds
2024-10-14,09:00,10,4,87,36,185,Hurricane force winds
2024-10-14,10:00,10,6,85,36,185,Hurricane force winds
2024-10-14,11:00,12,8,81,29,185,Hurricane force winds
2024-10-14,12:00,13,10,75,29,185,Hurricane force winds
2024-10-14,13:00,14,11,71,29,185,Hurricane force winds
2024-10-14,14:00,14,12,68,19,185,Hurricane force winds
2024-10-14,15:00,15,12,67,19,185,Hurricane force winds
2024-10-14,16:00,14,12,67,19,185,Hurricane force winds
2024-10-14,17:00,14,11,70,0,185,Hurricane force winds
2024-10-14,18:00,13,10,74,20,185,Hurricane force winds
2024-10-14,19:00,12,9,79,0,185,Hurricane force winds
2024-10-14,20:00,12,8,84,0,185,Hurricane force winds
2024-10-14,21:00,11,7,86,0,185,Hurricane force winds
2024-10-14,22:00,11,6,87,0,185,Hurricane force winds
2024-10-14,23:00,10,6,88,0,185,Hurricane force winds
2024-10-15,00:00,10,5,88,0,185,Hurricane force winds
2024-10-15,01:00,10,5,88,0,185,Hurricane force winds
2024-10-15,02:00,9,4,88,0,185,Hurricane force winds
2024-10-15,03:00,9,4,89,0,185,Hurricane force winds
2024-10-15,04:00,9,4,89,0,185,Hurricane force winds
2024-10-15,05:00,9,3,91,0,185,Hurricane force winds
2024-10-15,06:00,9,3,91,0,185,Hurricane force winds
2024-10-15,07:00,9,3,90,0,185,Hurricane force winds
2024-10-15,08:00,10,5,92,0,185,Hurricane force winds
2024-10-15,09:00,11,7,90,0,185,Hurricane force winds
2024-10-15,10:00,12,8,88,0,185,Hurricane force winds
2024-10-15,11:00,13,10,81,0,185,Hurricane force winds
2024-10-15,12:00,14,12,74,0,185,Hurricane force winds
2024-10-15,13:00,15,13,71,0,185,Hurricane force winds
2024-10-15,14:00,15,13,70,0,185,Hurricane force winds
2024-10-15,15:00,15,13,70,0,185,Hurricane force winds
2024-10-15,16:00,15,13,72,0,185,Hurricane force winds
2024-10-15,17:00,14,12,75,15,185,Hurricane force winds
2024-10-15,18:00,14,11,79,15,185,Hurricane force winds
2024-10-15,19:00,13,10,84,15,185,Hurricane force winds
2024-10-15,20:00,13,10,87,21,185,Hurricane force winds
2024-10-15,21:00,13,10,88,21,185,Hurricane force winds
2024-10-15,22:00,12,9,89,21,185,Hurricane force winds
2024-10-15,23:00,12,9,89,24,185,Hurricane force winds
2024-10-16,00:00,12,9,89,24,185,Hurricane force winds
2024-10-16,01:00,12,9,89,24,185,Hurricane force winds
2024-10-16,02:00,12,9,91,47,185,Hurricane force winds
2024-10-16,03:00,12,9,92,47,185,Hurricane force winds
2024-10-16,04:00,12,9,93,47,185,Hurricane force winds
2024-10-16,05:00,13,9,92,40,185,Hurricane force winds
2024-10-16,06:00,13,9,92,40,185,Hurricane force winds
2024-10-16,07:00,13,10,92,40,185,Hurricane force winds
2024-10-16,08:00,13,10,95,53,185,Hurricane force winds
2024-10-16,09:00,13,11,94,53,185,Hurricane force winds
2024-10-16,10:00,14,12,92,53,185,Hurricane force winds
2024-10-16,11:00,15,14,89,54,185,Hurricane force winds
2024-10-16,12:00,16,15,84,54,185,Hurricane force winds
2024-10-16,13:00,16,15,83,54,185,Hurricane force winds
2024-10-16,14:00,16,16,80,36,185,Hurricane force winds
2024-10-16,15:00,16,16,79,36,185,Hurricane force winds
2024-10-16,16:00,16,16,80,36,185,Hurricane force winds
2024-10-16,17:00,16,15,81,28,185,Hurricane force winds
2024-10-16,18:00,15,15,85,28,185,Hurricane force winds
2024-10-16,19:00,15,14,88,28,185,Hurricane force winds
2024-10-16,20:00,15,13,91,18,185,Hurricane force winds
2024-10-16,21:00,14,12,93,18,185,Hurricane force winds
2024-10-16,22:00,14,12,94,18,185,Hurricane force winds
2024-10-16,23:00,14,12,94,0,185,Hurricane force winds
2024-10-17,00:00,14,12,94,0,185,Hurricane force winds
2024-10-17,01:00,13,11,94,13,185,Hurricane force winds
2024-10-17,02:00,13,14,95,24,11,Partly cloudy and light winds
