localDate,timeslot,temperatureC,feelsLikeTemperatureC,humidity,precipitationProbability,windSpeedKph,weatherDescription
2024-10-10,20:30,28,39,86,3,18380,Hurricane force winds
2024-10-10,21:30,28,39,85,2,18380,Hurricane force winds
2024-10-10,22:30,28,39,85,2,18380,Hurricane force winds
2024-10-10,23:30,27,39,89,2,18380,Hurricane force winds
2024-10-11,00:30,27,39,87,0,18380,Hurricane force winds
2024-10-11,01:30,27,38,88,0,18380,Hurricane force winds
2024-10-11,02:30,27,38,91,0,18380,Hurricane force winds
2024-10-11,03:30,27,38,88,0,18380,Hurricane force winds
2024-10-11,04:30,27,38,89,0,18380,Hurricane force winds
2024-10-11,05:30,27,37,92,0,18380,Hurricane force winds
2024-10-11,06:30,27,39,87,0,18380,Hurricane force winds
2024-10-11,07:30,29,40,82,3,18380,Hurricane force winds
2024-10-11,08:30,30,42,78,8,18380,Hurricane force winds
2024-10-11,09:30,31,43,73,15,18380,Hurricane force winds
2024-10-11,10:30,32,44,69,23,18380,Hurricane force winds
2024-10-11,11:30,32,45,68,26,18380,Hurricane force winds
2024-10-11,12:30,32,44,67,28,18380,Hurricane force winds
2024-10-11,13:30,32,44,66,22,18380,Hurricane force winds
2024-10-11,14:30,32,44,65,22,18380,Hurricane force winds
2024-10-11,15:30,31,43,69,22,18380,Hurricane force winds
2024-10-11,16:30,30,42,73,25,18380,Hurricane force winds
2024-10-11,17:30,30,42,76,13,18380,Hurricane force winds
2024-10-11,18:30,29,40,79,0,18380,Hurricane force winds
2024-10-11,19:30,29,40,80,0,18380,Hurricane force winds
2024-10-11,20:30,29,41,83,0,18380,Hurricane force winds
2024-10-11,21:30,28,40,82,3,18380,Hurricane force winds
2024-10-11,22:30,28,39,84,4,18380,Hurricane force winds
2024-10-11,23:30,28,40,89,6,18380,Hurricane force winds
2024-10-12,00:30,28,40,87,6,18380,Hurricane force winds
2024-10-12,01:30,28,39,88,6,18380,Hurricane force winds
2024-10-12,02:30,27,39,90,6,18380,Hurricane force winds
2024-10-12,03:30,27,39,88,9,18380,Hurricane force winds
2024-10-12,04:30,27,38,89,9,18380,Hurricane force winds
2024-10-12,05:30,27,37,92,12,18380,Hurricane force winds
2024-10-12,06:30,28,39,86,8,7,Sunny intervals and light winds
2024-10-12,07:30,29,40,83,9,8,Gusty winds and sunny intervals
2024-10-12,08:30,30,43,80,11,18380,Hurricane force winds
2024-10-12,09:30,31,43,73,11,18380,Hurricane force winds
2024-10-12,10:30,31,44,69,7,18380,Hurricane force winds
2024-10-12,11:30,32,45,67,12,18380,Hurricane force winds
2024-10-12,12:30,32,45,66,22,18380,Hurricane force winds
2024-10-12,13:30,32,44,66,17,18380,Hurricane force winds
2024-10-12,14:30,32,44,65,17,18380,Hurricane force winds
2024-10-12,15:30,31,43,69,25,18380,Hurricane force winds
2024-10-12,16:30,31,43,73,32,18380,Hurricane force winds
2024-10-12,17:30,30,42,77,22,18380,Hurricane force winds
2024-10-12,18:30,29,41,79,10,18380,Hurricane force winds
2024-10-12,19:30,29,41,79,10,18380,Hurricane force winds
2024-10-12,20:30,29,41,82,10,18380,Hurricane force winds
2024-10-12,21:30,28,40,82,0,18380,Hurricane force winds
2024-10-12,22:30,28,39,83,0,18380,Hurricane force winds
2024-10-12,23:30,28,40,87,0,3,A clear sky and light winds
2024-10-13,00:30,28,39,86,10,5,A clear sky and light winds
2024-10-13,01:30,28,39,86,0,5,A clear sky and light winds
2024-10-13,02:30,27,38,87,0,3,A clear sky and light winds
2024-10-13,03:30,27,38,87,12,4,A clear sky and light winds
2024-10-13,04:30,27,37,87,0,4,A clear sky and light winds
2024-10-13,05:30,27,37,89,0,3,A clear sky and light winds
2024-10-13,06:30,27,38,85,0,4,Gusty winds and sunny
2024-10-13,07:30,29,40,83,0,18380,Hurricane force winds
2024-10-13,08:30,30,43,79,0,18380,Hurricane force winds
2024-10-13,09:30,31,43,73,13,18380,Hurricane force winds
2024-10-13,10:30,31,43,69,14,18380,Hurricane force winds
2024-10-13,11:30,32,45,65,13,18380,Hurricane force winds
2024-10-13,12:30,33,44,64,9,18380,Hurricane force winds
2024-10-13,13:30,32,43,62,8,18380,Hurricane force winds
2024-10-13,14:30,33,44,60,7,18380,Hurricane force winds
2024-10-13,15:30,32,43,65,19,18380,Hurricane force winds
2024-10-13,16:30,31,42,70,22,18380,Hurricane force winds
2024-10-13,17:30,30,41,73,20,18380,Hurricane force winds
2024-10-13,18:30,29,40,75,0,18380,Hurricane force winds
2024-10-13,19:30,29,39,76,0,18380,Hurricane force winds
2024-10-13,20:30,29,40,78,0,18380,Hurricane force winds
2024-10-13,21:30,28,39,79,0,18380,Hurricane force winds
2024-10-13,22:30,28,38,80,0,18380,Hurricane force winds
2024-10-13,23:30,28,39,84,0,18380,Hurricane force winds
2024-10-14,00:30,27,38,83,0,18380,Hurricane force winds
2024-10-14,01:30,27,37,84,0,18380,Hurricane force winds
2024-10-14,02:30,27,37,86,0,18380,Hurricane force winds
2024-10-14,03:30,27,37,84,0,18380,Hurricane force winds
2024-10-14,04:30,27,36,86,0,18380,Hurricane force winds
2024-10-14,05:30,26,35,89,0,18380,Hurricane force winds
2024-10-14,06:30,27,37,86,10,18380,Hurricane force winds
2024-10-14,07:30,28,39,82,10,18380,Hurricane force winds
2024-10-14,08:30,29,41,78,10,18380,Hurricane force winds
2024-10-14,09:30,30,43,73,16,18380,Hurricane force winds
